epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.0499,0.14704,0.97807,1,0.06,0.0802744,0.000199248,0.000199248
2,86.5823,0.08417,0.98355,1,0.04497,0.0604743,0.00039915,0.00039915
3,130.197,0.08673,0.99671,1,0.02172,0.0406738,0.000598657,0.000598657
4,172.681,0.0779,0.99232,1,0.05196,0.0208727,0.000797475,0.000797475
5,214.622,0.07548,0.98684,1,0.05151,0.0010705,0.000995309,0.000995309
6,256.729,0.09024,0.98794,1,0.03515,0.000993845,0.000993845,0.000993845
7,298.609,0.06518,0.99123,1,0.02318,0.000991145,0.000991145,0.000991145
8,339.901,0.04061,0.99013,1,0.03294,0.00098796,0.00098796,0.00098796
9,381.762,0.05389,0.98575,1,0.06717,0.000984293,0.000984293,0.000984293
10,425.821,0.0646,0.99013,1,0.02504,0.000980149,0.000980149,0.000980149
11,467.713,0.06101,0.99232,1,0.04349,0.000975531,0.000975531,0.000975531
12,509.966,0.05119,0.99232,1,0.02928,0.000970443,0.000970443,0.000970443
13,551.962,0.04194,0.99342,1,0.01513,0.000964892,0.000964892,0.000964892
14,594.634,0.03818,0.99013,1,0.03876,0.000958881,0.000958881,0.000958881
15,636.615,0.02579,0.99452,1,0.01954,0.000952418,0.000952418,0.000952418
16,678.659,0.02683,0.99342,1,0.01853,0.000945509,0.000945509,0.000945509
17,722.49,0.02306,0.99561,1,0.01401,0.00093816,0.00093816,0.00093816
18,764.302,0.0284,0.99123,1,0.01778,0.000930378,0.000930378,0.000930378
19,806.203,0.03555,0.99452,1,0.02051,0.000922172,0.000922172,0.000922172
20,848.1,0.0353,0.99123,1,0.03695,0.000913549,0.000913549,0.000913549
21,890.082,0.0245,0.99342,1,0.02531,0.000904518,0.000904518,0.000904518
22,931.753,0.01798,0.99452,1,0.03054,0.000895088,0.000895088,0.000895088
23,972.752,0.02257,0.99561,1,0.02165,0.000885268,0.000885268,0.000885268
